starId,lambdaEff,filter,referenceId,magAverage,magError,stdError,amplitudeEff
HD72968,350,20,45,1.4994,0.0006,0.0062,-0.0161
HD72968,410,21,45,1.4381,0.0004,0.0040,-0.0103
HD72968,465,22,45,1.4895,0.0022,0.0225,-0.0133
HD72968,550,23,45,1.4794,0.0005,0.0048,-0.0132
HD72968,350,20,87,1.2817,0.0005,0.0039,-0.0161
HD72968,410,21,87,1.3425,0.0007,0.0044,-0.0103
HD72968,465,22,87,1.3918,0.0006,0.0038,-0.0133
HD72968,550,23,87,1.4814,0.0007,0.0045,-0.0132
HD72968,350,20,88,-0.6718,0.0017,0.0082,-0.0161
HD72968,410,21,88,-0.8144,0.0019,0.0084,-0.0103
HD72968,465,22,88,-0.8634,0.0016,0.0071,-0.0133
HD72968,550,23,88,-0.8500,0.0017,0.0081,-0.0132
HD72968,350,20,88,-0.6722,0.0022,0.0068,-0.0161
HD72968,410,21,88,-0.8157,0.0020,0.0055,-0.0103
HD72968,465,22,88,-0.8648,0.0025,0.0072,-0.0133
HD72968,550,23,88,-0.8511,0.0017,0.0050,-0.0132
HD72968,517,70,88,-0.9376,0.0017,0.0037,-0.0151
HD72968,517,71,88,-0.8785,0.0013,0.0029,-0.0151
HD72968,350,20,88,-0.6743,0.0015,0.0064,-0.0161
