0058,27295,"Winzer, John Ernest","1974PhDT........61W","HD27176","U(14)B(14)V(14)"
0118,27295,"Adelman, Saul J.","1993A&A...269..411A","HD27176","u(26)v(26)b(26)y(26)"
0000,27309,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(75)Bt(101)Vt(101)"
0022,27309,"North, P.; Adelman, S. J.","1995A&AS..111...41N","HD27176","u(34)v(34)b(34)y(34)"
0022,27309,"North, P.; Adelman, S. J.","1995A&AS..111...41N",,"U(27)B(27)V(89)B1(27)B2(27)V1(27)G(27)"
0023,27309,"Nikolov, A. S.","1974IBVS..942....1N","HD27176","U(14)P(13)X(13)Y(14)Z(14)V(14)HR(14)S(12)MR(13)DR(13)[MR,DR]"
0024,27309,"Musielok, B.; Lange, D.; Schoenich, W.; et al.","1980AN....301...71M","HD27176","U(24)P(23)X(24)Y(24)Z(23)V(24)HR(24)S(24)MR(24)DR(23)[P,Y,V,HR,S]"
0058,27309,"Winzer, John Ernest","1974PhDT........61W","HD27176","U(25)B(25)V(25)"
0111,27309,"Pojmanski, G.","2002AcA....52..397P",,"V(280)"
0142,27309,"Dukes, Robert J., Jr.; Adelman, Saul J.","2018PASP..130d4202D","HD27176","u(261)v(261)b(261)y(261)"
0000,28843,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(85)Bt(115)Vt(115)"
0006,28843,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(9)H(9)K(9)L(9)M(8)"
0026,28843,"Pedersen, H.; Thomsen, B.","1977A&AS...30...11P",,"u(11)v(11)b(11)y(11)"
0046,28843,"Waelkens, C.","1985A&AS...61..127W",,"U-B1(31)B1-B2(31)B2-V1(31)V1-G(31)B(31)V(31)"
0092,28843,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",,"u(38)v(38)b(38)y(38)"
0093,28843,"Sterken, C.; Manfroid, J.; Anton, K.; et al.","1995yCat.2188....0S",,"u(60)v(60)b(60)y(60)"
0097,28843,"Manfroid, J.; Sterken, C.; et al.","1995yCat.2200....0M",,"u(7)v(7)b(7)y(7)"
0000,29009,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(107)Bt(98)Vt(98)"
0006,29009,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(3)H(3)K(3)L(3)M(3)"
0092,29009,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",,"u(305)v(305)b(305)y(305)"
0093,29009,"Sterken, C.; Manfroid, J.; Anton, K.; et al.","1995yCat.2188....0S",,"u(248)v(248)b(248)y(248)"
0000,29305,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(117)Bt(155)Vt(155)"
0006,29305,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(4)H(4)K(4)L(4)M(4)"
0039,29305,"Heck, A.; Mathys, G.; Manfroid, J.","1987A&AS...70...33H","HD24863","u(38)v(38)b(38)y(38)"
0000,30849,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(108)Bt(162)Vt(163)"
0004,30849,"Vogt, N.; Faundez, A. M.","1979A&AS...36..477V",,"u(8)v(8)b(8)y(8)"
0027,30849,"Hensberge, H.; Deridder, G.; Doom, C.; et al.","1981A&AS...46..151H","HD31640","u(24)v(24)"
0027,30849,"Hensberge, H.; Deridder, G.; Doom, C.; et al.","1981A&AS...46..151H",,"deltaa(15)V(15)"
0029,30849,"Hensberge, H.; Weiss, W. W.; et al.","1982IBVS.2170....1H","HD31640","u(3)v(3)b(3)y(3)"
0000,31373,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(73)Bt(105)Vt(105)"
0021,31373,"Adelman, Saul J.; Brunhouse, Eric F.","1998PASP..110.1304A","HD33276","u(62)v(62)b(62)y(62)"
0000,32549,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(85)Bt(129)Vt(129)"
0058,32549,"Winzer, John Ernest","1974PhDT........61W","HD33276","U(14)B(14)V(14)"
0000,32633,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(85)Bt(105)Vt(105)"
0007,32633,"Preston, George W.; Stepien, Kazimierz","1968ApJ...151..577P",,"U(17)B(17)V(17)"
0030,32633,"Adelman, S. J.","1997A&AS..122..249A","HD32608","u(91)v(91)b(91)y(91)"
0087,32633,"Adelman, S. J.; Kaewkornmaung, P.","2005A&A...435.1099A","HD32068","u(77)v(77)b(77)y(77)"
0000,32650,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(189)Bt(261)Vt(261)"
0037,32650,"Adelman, Saul J.","1997PASP..109....9A","HD33541","u(69)v(69)b(69)y(69)"
0058,32650,"Winzer, John Ernest","1974PhDT........61W","HD31590","U(16)B(16)V(16)"
0113,32650,"Adelman, Saul J.; Sutton, Jason M.","2007PASP..119..733A","HD33541","u(135)v(135)b(135)y(135)"
0000,32966,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(153)Bt(217)Vt(217)"
0004,32966,"Vogt, N.; Faundez, A. M.","1979A&AS...36..477V",,"u(4)v(4)b(4)y(4)"
0031,32966,"Adelman, Saul J.; Meadows, S. A.","2002A&A...390.1023A","HD31726","u(66)v(66)b(66)y(66)"
0000,33904,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(127)Bt(172)Vt(172)"
0006,33904,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(4)H(4)K(4)L(4)M(4)"
0039,33904,"Heck, A.; Mathys, G.; Manfroid, J.","1987A&AS...70...33H","HD34816,HD35337","u(29)v(29)b(29)y(29)"
0000,34364,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(83)Bt(121)Vt(121)"
0045.1,34364,"Adelman, Saul J.","1998A&AS..128..245A","HD34499","u(22)v(22)b(22)y(22)"
0045.2,34364,"Adelman, Saul J.","1998A&AS..128..245A","HD34499","u(23)v(23)b(23)y(23)"
0128,34364,"Johansen, K. T.","1970A&A.....4....1J","HD34334","u(176)v(181)b(181)y(154)hbeta191(187)hbeta37(187)"
0137,34364,"Žižňovský J.","Skalnaté Pleso","HD34578","B(85)V(96)"
0000,35298,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(119)Bt(155)Vt(155)"
0092,35298,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",,"u(52)v(52)b(52)y(52)"
0093,35298,"Sterken, C.; Manfroid, J.; Anton, K.; et al.","1995yCat.2188....0S",,"u(36)v(36)b(36)y(36)"
0102,35298,"Adelman, S. J.; Rice, R. H.","1999A&AS..136..111A","HD33647","u(100)v(100)b(100)y(100)"
0000,36629,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(85)Bt(118)Vt(118)"
0039,36629,"Heck, A.; Mathys, G.; Manfroid, J.","1987A&AS...70...33H","HD36342","u(16)v(16)b(16)y(16)"
0000,36668,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(111)Bt(135)Vt(135)"
0032,36668,"Adelman, Saul J.","2000A&A...357..548A","HD33647","u(115)v(115)b(115)y(115)"
0000,37210,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Bt(146)Vt(146)"
0092,37210,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",,"u(113)v(113)b(113)y(113)"
0093,37210,"Sterken, C.; Manfroid, J.; Anton, K.; et al.","1995yCat.2188....0S",,"u(347)v(347)b(347)y(347)"
0097,37210,"Manfroid, J.; Sterken, C.; et al.","1995yCat.2200....0M",,"u(90)v(90)b(90)y(90)"
0000,37776,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(103)Bt(129)Vt(129)"
0006,37776,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",,"J(10)H(10)K(10)L(10)M(8)"
0026,37776,"Pedersen, H.; Thomsen, B.","1977A&AS...30...11P",,"u(54)v(54)b(54)y(54)"
0033,37776,"Adelman, S. J.","1997A&AS..125...65A","HD36591","u(42)v(42)b(42)y(42)"
0085,37776,"Adelman, S. J.; Pyper, D. M.","1985A&AS...62..279A","HD37744","u(18)v(18)b(18)y(18)&#946;(15)"
0103,37776,"Bartolini, C.; Bonifazi, A.; et al.","1982Ap&SS..83..287B","HD37674,HD37393","U(41)B(58)V(58)"
0111,37776,"Pojmanski, G.","2002AcA....52..397P",,"V(470)"
0123.1,37776,"Mikulášek, Z.; Krtička, J.; Henry, G.W.; and co.","2008A&A...485..585M","HD37788","B(209)V(209)"
0123.2,37776,"Mikulášek, Z.; Krtička, J.; Henry, G.W.; and co.","2008A&A...485..585M","HD36166","U(14)B(17)V(17)"
0123.3,37776,"Mikulášek, Z.; Krtička, J.; Henry, G.W.; and co.","2008A&A...485..585M","HD36591","U(30)B(27)V(27)"
0137,37776,"Mikulášek, Z.; Krtička, J; and co.","2011A&A...534L...5M","HD37788","B(183)V(183)"
0000,38104,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(67)Bt(84)Vt(84)"
0058,38104,"Winzer, John Ernest","1974PhDT........61W","HD38179","U(10)B(10)V(10)"
0000,38478,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",,"Hp(119)Bt(100)Vt(100)"
0058,38478,"Winzer, John Ernest","1974PhDT........61W","HD37147","U(10)B(10)V(10)"
